Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Mathematics,91.68,87.29,82.34,65.51,93.76,55.7,58.96,8.5,No,No,Medium,7,7.1
CS,66.9,78.56,64.73,79.6,82.21,43.9,67.42,17.6,No,Yes,Low,7,8.9
Mathematics,89.5,51.88,81.42,97.45,66.03,76.10000000000001,67.98,14.7,Yes,No,Low,9,7.7
Mathematics,50.68,41.06,54.16,89.8,65.6,73.8,70.56,22.0,Yes,Yes,High,3,8.1
Engineering,57.34,84.3,81.69,91.73,84.66,93.5,60.66,26.7,Yes,No,Medium,10,4.8
Business,84.38,56.64,67.65,58.29,75.04,33.3,73.16,5.7,Yes,No,Medium,6,7.9
Business,51.75,73.8,69.14,67.11,57.51,49.6,81.24,24.7,No,No,High,8,8.2
CS,60.71,82.52,61.4,88.59,65.38,19.6,56.43,29.9,Yes,Yes,High,10,5.6
CS,85.03,48.79,69.06,84.51,56.16,18.6,74.57,23.6,No,Yes,Medium,3,6.5
CS,85.28,89.37,70.55,60.19,96.55,69.3,52.18,18.4,Yes,Yes,High,3,8.5
Engineering,57.5,97.17,96.89,66.08,65.38,74.6,64.93,23.8,No,Yes,Medium,6,8.4
Business,76.07,49.61,88.9,74.93,98.19,12.1,69.03,12.9,No,No,Medium,6,4.3
Engineering,76.65,42.73,98.24,58.83,90.52,12.9,98.34,15.0,No,No,Low,9,6.8
Business,51.8,69.65,54.6,67.69,86.69,19.0,76.64,17.2,Yes,Yes,High,1,8.7
CS,75.2,71.95,47.82,51.39,50.22,49.7,98.37,9.3,Yes,No,Medium,10,7.2
Mathematics,65.61,70.49,74.31,91.78,98.87,5.1,98.25,29.4,Yes,Yes,Medium,3,5.2
Engineering,56.94,60.56,72.79,78.46,75.69,16.1,88.08,24.9,Yes,Yes,Medium,7,7.4
Engineering,76.8,81.19,68.79,91.96,55.21,77.0,86.93,21.5,No,No,High,8,7.7
Engineering,96.72,62.39,41.93,67.87,83.75,18.6,83.05,13.4,No,No,High,3,8.9
Engineering,51.91,83.44,88.34,53.26,51.43,61.4,58.83,29.6,Yes,Yes,Medium,10,8.7
Mathematics,87.1,91.76,52.94,62.41,83.88,30.7,63.53,5.9,No,Yes,Low,5,6.5
Business,52.83,85.64,45.25,56.56,52.59,26.7,76.83,26.7,No,Yes,Low,1,8.1
Mathematics,59.54,43.95,75.61,82.13,66.19,57.8,89.09,9.3,Yes,No,Medium,3,4.0
CS,79.01,55.26,72.09,66.02,67.4,3.5,77.82,8.2,No,Yes,Medium,10,8.2
Mathematics,91.92,83.55,97.65,56.05,75.73,55.1,90.57,13.1,Yes,Yes,High,7,5.0
Engineering,86.72,63.93,91.07,81.0,66.88,61.4,77.57,26.6,Yes,No,High,3,5.8
Engineering,53.86,85.1,67.61,83.84,60.38,40.2,69.29,22.7,No,Yes,High,5,5.3
CS,86.82,88.78,73.2,63.71,65.51,37.7,73.47,18.6,Yes,Yes,High,10,4.3
Engineering,58.56,61.56,74.58,51.79,89.44,31.5,97.81,13.5,Yes,No,High,3,7.7
Engineering,70.46,64.44,56.65,73.16,88.29,23.5,54.93,28.1,No,No,Medium,5,5.7
Engineering,98.87,63.05,58.02,69.52,50.71,32.2,66.91,21.3,No,Yes,High,4,4.9
Business,79.0,85.56,52.9,88.85,88.39,56.1,99.58,19.9,No,No,Medium,1,8.0
Business,78.01,82.02,75.89,66.24,62.87,69.5,51.45,6.7,Yes,Yes,Medium,7,6.9
Mathematics,68.85,87.85,64.74,68.22,87.31,12.3,93.28,17.9,Yes,Yes,Low,6,7.5
Engineering,99.91,72.2,97.51,55.86,61.04,32.9,67.96,17.8,Yes,No,Medium,8,7.1
CS,75.85,80.7,83.24,61.22,51.76,67.0,52.47,15.4,Yes,Yes,Low,10,8.3
CS,57.7,77.81,71.63,71.14,53.53,46.3,83.18,14.2,Yes,Yes,Medium,1,5.0
Business,68.75,46.45,63.36,79.01,90.63,67.0,98.32,26.2,No,Yes,High,2,6.3
Mathematics,57.46,72.74,71.84,97.12,64.42,97.4,74.65,20.9,No,No,High,1,9.0
Business,79.31,85.93,53.38,62.6,55.61,98.5,84.08,15.6,Yes,Yes,Medium,10,5.7
Engineering,67.12,80.1,45.9,59.14,54.7,97.1,75.62,29.0,Yes,Yes,Medium,3,5.1
Business,62.19,87.47,74.36,98.79,73.25,67.6,65.05,9.1,No,No,High,2,5.3
Mathematics,58.28,86.76,62.93,81.19,83.98,52.6,88.26,17.8,Yes,No,High,2,8.7
Business,54.83,46.19,93.85,83.65,98.18,5.0,79.92,5.8,No,No,Low,3,7.1
Business,94.41,78.65,60.31,92.42,95.42,75.9,67.44,9.4,No,No,Low,7,8.0
Engineering,59.96,84.0,83.36,80.78,69.71,86.5,75.25,20.8,Yes,No,Low,5,8.8
Engineering,91.72,92.07,41.78,54.08,66.84,24.4,52.5,9.1,Yes,Yes,High,7,4.9
Business,99.78,76.76,83.01,81.61,95.71,74.6,63.22,27.3,No,No,Medium,8,5.4
Mathematics,75.58,84.51,93.24,51.29,60.96,43.3,65.49,9.2,No,No,Low,2,7.2
Business,57.93,82.56,71.62,75.61,72.01,66.8,63.49,5.3,Yes,No,Medium,3,5.9
CS,84.14,45.59,62.56,59.85,90.99,38.6,79.39,20.6,Yes,Yes,Low,2,6.4
